boarding_time,arrived_time
2019-06-21 18:44:14,2019-06-22 01:44:14
2021-12-18 08:58:23,2021-12-18 12:58:23
2018-01-06 15:05:49,2018-01-06 19:05:49
2020-10-14 10:44:13,2020-10-14 17:44:13
2021-01-06 05:06:28,2021-01-06 09:06:28
2019-03-24 08:30:19,2019-03-24 18:30:19
2021-08-03 16:57:39,2021-08-03 21:57:39
2018-03-21 11:20:15,2018-03-21 17:20:15
2018-04-09 08:40:23,2018-04-09 12:40:23
2018-04-21 03:53:30,2018-04-21 15:53:30
2019-02-25 11:54:45,2019-02-25 22:54:45
2020-09-21 09:10:41,2020-09-21 16:10:41
2021-06-20 09:49:37,2021-06-20 16:49:37
2020-12-27 17:50:46,2020-12-28 00:50:46
2018-11-02 23:19:17,2018-11-03 08:19:17
2018-03-15 13:38:01,2018-03-15 20:38:01
2019-05-19 21:43:11,2019-05-20 08:43:11
2020-02-14 12:56:59,2020-02-14 16:56:59
2018-07-27 07:35:54,2018-07-27 13:35:54
2019-10-16 19:51:58,2019-10-17 00:51:58
2019-03-22 08:30:16,2019-03-22 16:30:16
2019-09-22 17:59:28,2019-09-23 01:59:28
2020-01-03 23:56:14,2020-01-04 04:56:14
2020-08-25 10:59:37,2020-08-25 18:59:37
2021-01-30 23:04:00,2021-01-31 08:04:00
2021-12-02 04:54:37,2021-12-02 08:54:37
2018-11-14 13:27:11,2018-11-15 01:27:11
2021-03-26 21:15:05,2021-03-27 01:15:05
2018-04-20 09:25:42,2018-04-20 13:25:42
2021-06-20 11:32:25,2021-06-20 22:32:25
2019-07-27 09:22:05,2019-07-27 20:22:05
2021-02-10 21:47:27,2021-02-11 05:47:27
2018-03-06 18:52:07,2018-03-07 04:52:07
2021-10-01 07:45:07,2021-10-01 17:45:07
2020-10-23 22:57:15,2020-10-24 07:57:15
2019-12-03 21:40:58,2019-12-04 08:40:58
2019-02-26 17:33:16,2019-02-27 00:33:16
2018-08-24 00:53:31,2018-08-24 07:53:31
2020-09-08 05:46:29,2020-09-08 15:46:29
2019-02-04 23:19:07,2019-02-05 10:19:07
2018-03-22 07:03:27,2018-03-22 16:03:27
2018-06-09 13:42:05,2018-06-09 18:42:05
2021-05-05 17:41:42,2021-05-06 05:41:42
2018-09-12 13:43:37,2018-09-12 18:43:37
2020-04-15 14:52:48,2020-04-15 18:52:48
2021-12-20 20:56:14,2021-12-21 00:56:14
2021-02-07 13:51:31,2021-02-07 22:51:31
2019-01-07 01:12:45,2019-01-07 08:12:45
2018-03-06 07:17:36,2018-03-06 18:17:36
2021-09-01 21:46:33,2021-09-02 08:46:33
2019-09-10 14:29:37,2019-09-11 02:29:37
2021-03-31 17:04:29,2021-04-01 02:04:29
2021-08-27 11:34:07,2021-08-27 22:34:07
2018-07-25 08:55:09,2018-07-25 18:55:09
2021-10-11 11:07:06,2021-10-11 22:07:06
2021-09-13 16:59:45,2021-09-14 02:59:45
2021-06-17 10:51:57,2021-06-17 15:51:57
