flight_id,service_id,service_stock,flight_service_observations
1,1,1053,in felis donec
1,2,1435,mauris lacinia
1,3,1037,morbi vel lectus
1,4,1899,in quam fringilla
1,5,1304,suspendisse ornare consequat
1,6,1955,sapien sapien non
1,7,1207,elementum pellentesque
1,8,1848,quis tortor id
1,9,1570,rutrum ac lobortis
1,10,1615,gravida nisi
2,1,1588,cras pellentesque volutpat
2,2,1873,penatibus et magnis
2,3,1594,morbi non lectus
2,4,1831,quis orci
2,5,1725,eleifend donec ut
2,6,1996,quam suspendisse
2,7,1101,ipsum ac tellus
2,8,1990,pede posuere nonummy
2,9,1027,proin at
2,10,1086,nulla neque libero
3,1,1832,facilisi cras non
3,2,1662,blandit nam
3,3,1575,risus praesent
3,4,1481,duis consequat dui
3,5,1138,ipsum primis in
3,6,1520,in hac habitasse
3,7,1887,interdum venenatis
3,8,1427,nulla elit ac
3,9,1945,quisque porta volutpat
3,10,1820,ut massa volutpat
4,1,1948,magna ac consequat
4,2,1345,accumsan odio
4,3,1588,in faucibus orci
4,4,1397,tellus nulla
4,5,1499,odio justo
4,6,1690,sed interdum
4,7,1771,quam sollicitudin vitae
4,8,1388,mattis pulvinar
4,9,1099,posuere cubilia curae
4,10,1269,luctus et ultrices
5,1,1852,mi integer
5,2,1197,blandit non interdum
5,3,1777,parturient montes nascetur
5,4,1044,nisi vulputate
5,5,1267,neque sapien placerat
5,6,1073,nunc rhoncus
5,7,1068,lacus at
5,8,1943,in quam fringilla
5,9,1115,vestibulum sagittis
5,10,1330,nisl duis
6,1,1812,quis odio
6,2,1250,varius integer
6,3,1507,eleifend pede
6,4,1226,porttitor id consequat
6,5,1412,vitae consectetuer
6,6,1646,nulla suspendisse
6,7,1034,ac est
6,8,1382,amet nulla quisque
6,9,1345,justo sit
6,10,1145,sapien urna
7,1,1833,vulputate vitae
7,2,1801,non interdum
7,3,1660,velit vivamus
7,4,1494,pellentesque viverra
7,5,1055,pede justo eu
7,6,1333,nibh fusce
7,7,1544,platea dictumst
7,8,1111,non sodales
7,9,1318,ultrices posuere
7,10,1887,dolor quis odio
8,1,1014,odio odio
8,2,1890,elementum in
8,3,1072,iaculis justo in
8,4,1762,mauris lacinia sapien
8,5,1525,mi integer ac
8,6,1582,elit proin
8,7,1816,amet nunc viverra
8,8,1560,luctus et
8,9,1991,tristique fusce
8,10,1131,in hac
9,1,1093,ante ipsum
9,2,1872,amet nunc
9,3,1760,donec quis orci
9,4,1271,turpis integer
9,5,1626,gravida sem
9,6,1887,tortor eu
9,7,1219,imperdiet sapien urna
9,8,1362,aliquam quis
9,9,1113,suspendisse ornare consequat
9,10,1396,tortor eu
10,1,1918,quisque id
10,2,1483,mi pede
10,3,1930,ante ipsum primis
10,4,1425,justo sollicitudin ut
10,5,1999,ridiculus mus
10,6,1593,viverra pede ac
10,7,1495,augue vestibulum
10,8,1974,vel nisl duis
10,9,1039,congue elementum in
10,10,1858,eu tincidunt in
11,1,1534,eu sapien
11,2,1425,sem mauris
11,3,1790,rutrum ac lobortis
11,4,1991,vestibulum quam
11,5,1895,nulla ac enim
11,6,1162,felis fusce posuere
11,7,1994,primis in
11,8,1207,purus eu
11,9,1394,vitae quam
11,10,1146,consequat morbi a
12,1,1696,eget rutrum
12,2,1387,id justo
12,3,1036,vestibulum ante
12,4,1988,lectus suspendisse
12,5,1192,ante vivamus tortor
12,6,1302,odio in
12,7,1858,dapibus augue vel
12,8,1935,sapien cum
12,9,1150,iaculis justo
12,10,1352,lorem id
13,1,1763,ipsum primis in
13,2,1652,ut erat
13,3,1682,in quam fringilla
13,4,1344,condimentum neque
13,5,1415,et magnis
13,6,1151,risus praesent
13,7,1406,morbi sem mauris
13,8,1560,vitae nisi
13,9,1627,morbi ut odio
13,10,1643,donec semper
14,1,1501,nulla tempus vivamus
14,2,1594,quam pharetra
14,3,1426,rutrum ac
14,4,1598,nulla justo aliquam
14,5,1850,mattis nibh ligula
14,6,1625,fusce posuere
14,7,1148,ipsum primis
14,8,1269,ac enim in
14,9,1838,semper porta
14,10,1010,convallis tortor risus
15,1,1421,faucibus orci luctus
15,2,1634,cubilia curae
15,3,1680,porttitor pede justo
15,4,1010,nascetur ridiculus
15,5,1714,varius nulla facilisi
15,6,1888,vel ipsum praesent
15,7,1069,ultrices posuere cubilia
15,8,1747,odio porttitor id
15,9,1038,urna ut
15,10,1073,maecenas ut
16,1,1718,tortor duis
16,2,1351,morbi vel lectus
16,3,1949,ligula in lacus
16,4,1772,sem fusce consequat
16,5,1171,id nisl
16,6,1417,vivamus vel nulla
16,7,1753,quis augue luctus
16,8,1408,enim lorem
16,9,1847,in hac habitasse
16,10,1485,odio porttitor
17,1,1837,lacinia nisi venenatis
17,2,1575,bibendum morbi
17,3,1369,morbi quis tortor
17,4,1411,leo maecenas pulvinar
17,5,1693,nonummy integer
17,6,1433,mauris vulputate
17,7,1832,diam neque vestibulum
17,8,1383,arcu sed augue
17,9,1817,tortor duis mattis
17,10,1374,risus praesent
18,1,1132,morbi porttitor lorem
18,2,1178,in quis
18,3,1605,justo etiam
18,4,1593,eu pede
18,5,1776,velit eu
18,6,1525,vestibulum proin eu
18,7,1646,morbi porttitor lorem
18,8,1793,quam sapien varius
18,9,1737,fusce posuere
18,10,1364,odio odio
19,1,1550,suspendisse potenti in
19,2,1211,consequat varius
19,3,1570,gravida nisi at
19,4,1829,condimentum id
19,5,1818,vitae nisl aenean
19,6,1232,curabitur convallis duis
19,7,1328,luctus cum sociis
19,8,1173,quam pharetra magna
19,9,1402,ac lobortis vel
19,10,1274,vestibulum ante
20,1,1991,facilisi cras non
20,2,1618,nulla nisl
20,3,1572,faucibus cursus urna
20,4,1560,nec molestie
20,5,1527,lacinia nisi venenatis
20,6,1042,pulvinar nulla
20,7,1042,mauris eget
20,8,1865,tortor id
20,9,1877,magna bibendum imperdiet
20,10,1364,libero quis orci
21,1,1227,et magnis
21,2,1570,tortor eu pede
21,3,1225,nec nisi
21,4,1012,rutrum nulla nunc
21,5,1724,maecenas tincidunt
21,6,1330,amet sapien
21,7,1732,morbi vestibulum
21,8,1851,sit amet
21,9,1467,justo nec
21,10,1088,arcu sed
22,1,1434,amet erat
22,2,1480,feugiat non pretium
22,3,1472,ultrices posuere
22,4,1873,in faucibus
22,5,1378,nisl ut
22,6,1712,risus praesent
22,7,1091,erat tortor sollicitudin
22,8,1930,amet cursus
22,9,1339,semper porta
22,10,1627,vestibulum ac
23,1,1265,praesent id
23,2,1157,placerat praesent
23,3,1743,nunc proin at
23,4,1480,turpis elementum ligula
23,5,1129,quam sollicitudin
23,6,1346,venenatis tristique fusce
23,7,1044,aenean fermentum donec
23,8,1004,ipsum primis in
23,9,1409,ante vestibulum
23,10,1172,quam suspendisse potenti
24,1,1379,nisl nunc
24,2,1341,mi nulla
24,3,1790,erat quisque erat
24,4,1033,sapien a
24,5,1772,eget semper
24,6,1600,vulputate luctus
24,7,1593,aliquam augue
24,8,1080,consectetuer eget
24,9,1061,duis bibendum morbi
24,10,1800,eget eros
25,1,1939,viverra dapibus nulla
25,2,1686,at nunc
25,3,1617,consectetuer eget
25,4,1801,odio in
25,5,1929,dolor sit amet
25,6,1649,pede libero
25,7,1363,vitae ipsum
25,8,1822,quam pharetra
25,9,1346,lectus vestibulum
25,10,1897,risus dapibus
