purchase_flight_id,purchase_id,ticket_id,purchase_flight_date,purchase_total
1,884,922,2019-10-03 02:45:11,0
2,425,1394,2020-06-23 03:38:45,0
3,702,2894,2021-05-02 08:29:40,0
4,578,3040,2019-02-06 13:50:03,0
5,886,81,2020-05-01 17:29:09,0
6,257,3293,2020-09-08 20:21:25,0
7,504,134,2020-06-22 12:57:38,0
8,566,1980,2019-12-12 22:13:37,0
9,146,1289,2020-11-29 14:57:27,0
10,283,3816,2020-10-12 11:23:03,0
11,953,1257,2019-12-10 07:12:12,0
12,582,2377,2020-10-13 12:52:21,0
13,973,4050,2021-09-09 04:52:29,0
14,586,3952,2018-08-15 23:45:14,0
15,59,1945,2021-08-25 06:05:17,0
16,42,3094,2018-05-17 21:16:19,0
17,625,1653,2020-06-07 12:21:42,0
18,436,1320,2020-09-12 16:39:44,0
19,381,2670,2019-12-07 19:57:59,0
20,419,3412,2021-05-21 19:21:28,0
21,497,3763,2021-05-03 11:49:03,0
22,698,3446,2018-04-06 05:00:18,0
23,806,2999,2021-09-09 08:48:37,0
24,667,1533,2019-10-29 21:26:47,0
25,300,3652,2021-03-21 19:00:14,0
26,957,2653,2018-06-07 07:18:47,0
27,864,2838,2018-10-08 16:45:45,0
28,113,2961,2018-11-25 07:20:22,0
29,591,2294,2021-11-21 03:17:04,0
30,750,3306,2018-06-26 05:48:55,0
31,102,1552,2020-10-02 07:39:46,0
32,445,2513,2021-07-26 13:44:17,0
33,532,770,2021-08-29 13:15:41,0
34,839,3038,2018-07-24 00:23:54,0
35,696,151,2020-03-11 18:54:39,0
36,566,87,2019-07-25 03:41:38,0
37,406,91,2018-09-17 05:02:44,0
38,403,3828,2021-09-01 15:29:46,0
39,385,2909,2021-12-22 07:34:17,0
40,904,2711,2019-03-18 04:34:38,0
41,382,2298,2019-11-12 16:33:19,0
42,234,1129,2019-02-26 16:11:10,0
43,324,2192,2020-01-18 17:27:36,0
44,526,3734,2019-01-11 04:44:05,0
45,596,3232,2021-07-26 03:18:17,0
46,183,4039,2020-04-04 04:20:13,0
47,85,1304,2021-04-01 15:55:54,0
48,933,487,2019-01-07 03:48:50,0
49,309,159,2021-01-29 18:01:19,0
50,855,2181,2019-09-13 16:32:04,0
51,390,1065,2018-02-28 09:12:12,0
52,532,1225,2021-03-04 16:18:50,0
53,308,2134,2021-09-15 17:38:40,0
54,769,1475,2019-04-15 14:26:47,0
55,9,2177,2019-04-30 05:01:59,0
56,967,3622,2020-10-17 21:07:25,0
57,149,1593,2020-07-22 19:58:52,0
58,244,133,2021-08-20 07:58:21,0
59,644,4041,2021-03-27 23:54:33,0
60,306,1701,2018-01-17 09:11:45,0
61,492,3512,2018-11-20 18:20:51,0
62,998,1027,2020-08-08 09:38:01,0
63,64,1316,2019-07-20 21:53:33,0
64,803,3607,2018-02-17 19:49:31,0
65,277,3872,2020-06-25 01:28:31,0
66,191,1221,2018-11-21 23:25:16,0
67,681,1621,2021-12-22 18:13:28,0
68,466,3329,2019-09-07 12:36:50,0
69,823,1076,2018-04-14 21:35:02,0
70,261,2290,2020-06-30 06:06:56,0
71,2,3752,2019-08-22 03:23:00,0
72,453,1833,2021-06-05 05:48:23,0
73,429,632,2021-09-18 04:19:25,0
74,184,64,2020-04-26 13:38:46,0
75,829,465,2018-03-14 11:31:21,0
76,573,1716,2021-05-04 14:32:10,0
77,226,1490,2018-06-06 17:54:59,0
78,78,3257,2020-08-06 15:43:01,0
79,848,179,2021-11-18 15:24:06,0
80,30,106,2018-03-04 19:17:50,0
81,158,748,2021-02-13 08:05:10,0
82,345,3007,2020-02-23 05:46:07,0
83,686,3545,2021-12-03 22:29:46,0
84,653,1883,2021-02-13 20:18:53,0
85,628,3370,2019-09-01 03:16:47,0
86,423,1430,2021-10-01 14:18:27,0
87,449,647,2018-03-08 23:16:13,0
88,166,352,2018-04-29 12:50:18,0
89,367,1690,2020-08-17 08:25:57,0
90,84,2418,2019-05-15 23:24:43,0
91,215,4022,2021-12-18 22:33:38,0
