plane_id,row_seat,col_seat,class_name,seat_available
115,1,1,Primera Clase,true
115,1,2,Primera Clase,true
115,1,3,Primera Clase,true
115,1,4,Primera Clase,true
115,1,5,Primera Clase,true
115,1,6,Primera Clase,true
115,1,7,Primera Clase,true
115,1,8,Primera Clase,true
115,1,9,Primera Clase,true
115,1,10,Primera Clase,true
115,1,11,Primera Clase,true
115,1,12,Primera Clase,true
115,1,13,Primera Clase,true
115,1,14,Primera Clase,true
115,1,15,Primera Clase,true
115,1,16,Primera Clase,true
115,1,17,Primera Clase,true
115,1,18,Primera Clase,true
115,1,19,Primera Clase,true
115,1,20,Primera Clase,true
115,1,21,Primera Clase,true
115,1,22,Primera Clase,true
115,1,23,Primera Clase,true
115,1,24,Primera Clase,true
115,1,25,Primera Clase,true
115,1,26,Primera Clase,true
115,1,27,Primera Clase,true
115,1,28,Primera Clase,true
115,1,29,Primera Clase,true
115,1,30,Primera Clase,true
115,2,1,Clase Business,true
115,2,2,Clase Business,true
115,2,3,Clase Business,true
115,2,4,Clase Business,true
115,2,5,Clase Business,true
115,2,6,Clase Business,true
115,2,7,Clase Business,true
115,2,8,Clase Business,true
115,2,9,Clase Business,true
115,2,10,Clase Business,true
115,2,11,Clase Business,true
115,2,12,Clase Business,true
115,2,13,Clase Business,true
115,2,14,Clase Business,true
115,2,15,Clase Business,true
115,2,16,Clase Business,true
115,2,17,Clase Business,true
115,2,18,Clase Business,true
115,2,19,Clase Business,true
115,2,20,Clase Business,true
115,2,21,Clase Business,true
115,2,22,Clase Business,true
115,2,23,Clase Business,true
115,2,24,Clase Business,true
115,2,25,Clase Business,true
115,2,26,Clase Business,true
115,2,27,Clase Business,true
115,2,28,Clase Business,true
115,2,29,Clase Business,true
115,2,30,Clase Business,true
115,3,1,Clase Economy,true
115,3,2,Clase Economy,true
115,3,3,Clase Economy,true
115,3,4,Clase Economy,true
115,3,5,Clase Economy,true
115,3,6,Clase Economy,true
115,3,7,Clase Economy,true
115,3,8,Clase Economy,true
115,3,9,Clase Economy,true
115,3,10,Clase Economy,true
115,3,11,Clase Economy,true
115,3,12,Clase Economy,true
115,3,13,Clase Economy,true
115,3,14,Clase Economy,true
115,3,15,Clase Economy,true
115,3,16,Clase Economy,true
115,3,17,Clase Economy,true
115,3,18,Clase Economy,true
115,3,19,Clase Economy,true
115,3,20,Clase Economy,true
115,3,21,Clase Economy,true
115,3,22,Clase Economy,true
115,3,23,Clase Economy,true
115,3,24,Clase Economy,true
115,3,25,Clase Economy,true
115,3,26,Clase Economy,true
115,3,27,Clase Economy,true
115,3,28,Clase Economy,true
115,3,29,Clase Economy,true
115,3,30,Clase Economy,true
115,4,1,Clase Economy,true
115,4,2,Clase Economy,true
115,4,3,Clase Economy,true
115,4,4,Clase Economy,true
