plane_id,row_seat,col_seat
115,1,1
115,1,2
115,1,3
115,1,4
115,1,5
115,1,6
115,1,7
115,1,8
115,1,9
115,1,10
115,1,11
115,1,12
115,1,13
115,1,14
115,1,15
115,1,16
115,1,17
115,1,18
115,1,19
115,1,20
115,1,21
115,1,22
115,1,23
115,1,24
115,1,25
115,1,26
115,1,27
115,1,28
115,1,29
115,1,30
115,2,1
115,2,2
115,2,3
115,2,4
115,2,5
115,2,6
115,2,7
115,2,8
115,2,9
115,2,10
115,2,11
115,2,12
115,2,13
115,2,14
115,2,15
115,2,16
115,2,17
115,2,18
115,2,19
115,2,20
115,2,21
115,2,22
115,2,23
115,2,24
115,2,25
115,2,26
115,2,27
115,2,28
115,2,29
115,2,30
115,3,1
115,3,2
115,3,3
115,3,4
115,3,5
115,3,6
115,3,7
115,3,8
115,3,9
115,3,10
115,3,11
115,3,12
115,3,13
115,3,14
115,3,15
115,3,16
115,3,17
115,3,18
115,3,19
115,3,20
115,3,21
115,3,22
115,3,23
115,3,24
115,3,25
115,3,26
115,3,27
115,3,28
115,3,29
115,3,30
115,4,1
115,4,2
115,4,3
115,4,4
115,4,5
115,4,6
115,4,7
115,4,8
115,4,9
115,4,10
115,4,11
115,4,12
115,4,13
115,4,14
115,4,15
115,4,16
115,4,17
115,4,18
115,4,19
115,4,20
115,4,21
115,4,22
115,4,23
115,4,24
115,4,25
115,4,26
115,4,27
115,4,28
115,4,29
115,4,30
115,5,1
115,5,2
115,5,3
115,5,4
115,5,5
115,5,6
115,5,7
115,5,8
115,5,9
115,5,10
115,5,11
115,5,12
115,5,13
115,5,14
115,5,15
115,5,16
115,5,17
115,5,18
115,5,19
115,5,20
115,5,21
115,5,22
115,5,23
115,5,24
115,5,25
115,5,26
115,5,27
115,5,28
115,5,29
115,5,30
115,6,1
115,6,2
115,6,3
115,6,4
115,6,5
115,6,6
115,6,7
115,6,8
115,6,9
115,6,10
115,6,11
115,6,12
115,6,13
115,6,14
115,6,15
115,6,16
115,6,17
115,6,18
115,6,19
115,6,20
115,6,21
115,6,22
115,6,23
115,6,24
115,6,25
115,6,26
115,6,27
115,6,28
115,6,29
115,6,30
119,1,1
119,1,2
119,1,3
119,1,4
119,1,5
119,1,6
119,1,7
119,1,8
119,1,9
119,1,10
119,1,11
119,1,12
119,1,13
119,1,14
119,1,15
119,1,16
119,1,17
119,1,18
119,1,19
119,1,20
119,1,21
119,1,22
119,1,23
119,1,24
119,1,25
119,1,26
119,1,27
119,1,28
119,1,29
119,1,30
119,2,1
119,2,2
119,2,3
119,2,4
119,2,5
119,2,6
119,2,7
119,2,8
119,2,9
119,2,10
119,2,11
119,2,12
119,2,13
119,2,14
119,2,15
119,2,16
119,2,17
119,2,18
119,2,19
119,2,20
119,2,21
119,2,22
119,2,23
119,2,24
119,2,25
119,2,26
119,2,27
119,2,28
119,2,29
119,2,30
119,3,1
119,3,2
119,3,3
119,3,4
119,3,5
119,3,6
119,3,7
119,3,8
119,3,9
119,3,10
119,3,11
119,3,12
119,3,13
119,3,14
119,3,15
119,3,16
119,3,17
119,3,18
119,3,19
119,3,20
119,3,21
119,3,22
119,3,23
119,3,24
119,3,25
119,3,26
119,3,27
119,3,28
119,3,29
119,3,30
119,4,1
119,4,2
119,4,3
119,4,4
119,4,5
119,4,6
119,4,7
119,4,8
119,4,9
119,4,10
119,4,11
119,4,12
119,4,13
119,4,14
119,4,15
119,4,16
119,4,17
119,4,18
119,4,19
119,4,20
119,4,21
119,4,22
119,4,23
119,4,24
119,4,25
119,4,26
119,4,27
119,4,28
119,4,29
119,4,30
119,5,1
119,5,2
119,5,3
119,5,4
119,5,5
119,5,6
119,5,7
119,5,8
119,5,9
119,5,10
119,5,11
119,5,12
119,5,13
119,5,14
119,5,15
119,5,16
119,5,17
119,5,18
119,5,19
119,5,20
119,5,21
119,5,22
119,5,23
119,5,24
119,5,25
119,5,26
119,5,27
119,5,28
119,5,29
119,5,30
119,6,1
119,6,2
119,6,3
119,6,4
119,6,5
119,6,6
119,6,7
119,6,8
119,6,9
119,6,10
119,6,11
119,6,12
119,6,13
119,6,14
119,6,15
119,6,16
119,6,17
119,6,18
119,6,19
119,6,20
119,6,21
119,6,22
119,6,23
119,6,24
119,6,25
119,6,26
119,6,27
119,6,28
119,6,29
119,6,30
130,1,1
130,1,2
130,1,3
130,1,4
130,1,5
130,1,6
130,1,7
130,1,8
130,1,9
130,1,10
130,1,11
130,1,12
130,1,13
130,1,14
130,1,15
130,1,16
130,1,17
130,1,18
130,1,19
130,1,20
130,1,21
130,1,22
130,1,23
130,1,24
130,1,25
130,1,26
130,1,27
130,1,28
130,1,29
130,1,30
130,2,1
130,2,2
130,2,3
130,2,4
130,2,5
130,2,6
130,2,7
130,2,8
130,2,9
130,2,10
130,2,11
130,2,12
130,2,13
130,2,14
130,2,15
130,2,16
130,2,17
130,2,18
130,2,19
130,2,20
130,2,21
130,2,22
130,2,23
130,2,24
130,2,25
130,2,26
130,2,27
130,2,28
130,2,29
130,2,30
130,3,1
130,3,2
130,3,3
130,3,4
130,3,5
130,3,6
130,3,7
130,3,8
130,3,9
130,3,10
130,3,11
130,3,12
130,3,13
130,3,14
130,3,15
130,3,16
130,3,17
130,3,18
130,3,19
130,3,20
130,3,21
130,3,22
130,3,23
130,3,24
130,3,25
130,3,26
130,3,27
130,3,28
130,3,29
130,3,30
130,4,1
130,4,2
130,4,3
130,4,4
130,4,5
130,4,6
130,4,7
130,4,8
130,4,9
130,4,10
130,4,11
130,4,12
130,4,13
130,4,14
130,4,15
130,4,16
130,4,17
130,4,18
130,4,19
130,4,20
130,4,21
130,4,22
130,4,23
130,4,24
130,4,25
130,4,26
130,4,27
130,4,28
130,4,29
130,4,30
130,5,1
130,5,2
130,5,3
130,5,4
130,5,5
130,5,6
130,5,7
130,5,8
130,5,9
130,5,10
130,5,11
130,5,12
130,5,13
130,5,14
130,5,15
130,5,16
130,5,17
130,5,18
130,5,19
130,5,20
130,5,21
130,5,22
130,5,23
130,5,24
130,5,25
130,5,26
130,5,27
130,5,28
130,5,29
130,5,30
130,6,1
130,6,2
130,6,3
130,6,4
130,6,5
130,6,6
130,6,7
130,6,8
130,6,9
130,6,10
130,6,11
130,6,12
130,6,13
130,6,14
130,6,15
130,6,16
130,6,17
130,6,18
130,6,19
130,6,20
130,6,21
130,6,22
130,6,23
130,6,24
130,6,25
130,6,26
130,6,27
130,6,28
130,6,29
130,6,30
136,1,1
136,1,2
136,1,3
136,1,4
136,1,5
136,1,6
136,1,7
136,1,8
136,1,9
136,1,10
136,1,11
136,1,12
136,1,13
136,1,14
136,1,15
136,1,16
136,1,17
136,1,18
136,1,19
136,1,20
136,1,21
136,1,22
136,1,23
136,1,24
136,1,25
136,1,26
136,1,27
136,1,28
136,1,29
136,1,30
136,2,1
136,2,2
136,2,3
136,2,4
136,2,5
136,2,6
136,2,7
136,2,8
136,2,9
136,2,10
136,2,11
136,2,12
136,2,13
136,2,14
136,2,15
136,2,16
136,2,17
136,2,18
136,2,19
136,2,20
136,2,21
136,2,22
136,2,23
136,2,24
136,2,25
136,2,26
136,2,27
136,2,28
136,2,29
136,2,30
136,3,1
136,3,2
136,3,3
136,3,4
136,3,5
136,3,6
136,3,7
136,3,8
136,3,9
136,3,10
136,3,11
136,3,12
136,3,13
136,3,14
136,3,15
136,3,16
136,3,17
136,3,18
136,3,19
136,3,20
136,3,21
136,3,22
136,3,23
136,3,24
136,3,25
136,3,26
136,3,27
136,3,28
136,3,29
136,3,30
136,4,1
136,4,2
136,4,3
136,4,4
136,4,5
136,4,6
136,4,7
136,4,8
136,4,9
136,4,10
136,4,11
136,4,12
136,4,13
136,4,14
136,4,15
136,4,16
136,4,17
136,4,18
136,4,19
136,4,20
136,4,21
136,4,22
136,4,23
136,4,24
136,4,25
136,4,26
136,4,27
136,4,28
136,4,29
136,4,30
136,5,1
136,5,2
136,5,3
136,5,4
136,5,5
136,5,6
136,5,7
136,5,8
136,5,9
136,5,10
136,5,11
136,5,12
136,5,13
136,5,14
136,5,15
136,5,16
136,5,17
136,5,18
136,5,19
136,5,20
136,5,21
136,5,22
136,5,23
136,5,24
136,5,25
136,5,26
136,5,27
136,5,28
136,5,29
136,5,30
136,6,1
136,6,2
136,6,3
136,6,4
136,6,5
136,6,6
136,6,7
136,6,8
136,6,9
136,6,10
136,6,11
136,6,12
136,6,13
136,6,14
136,6,15
136,6,16
136,6,17
136,6,18
136,6,19
136,6,20
136,6,21
136,6,22
136,6,23
136,6,24
136,6,25
136,6,26
136,6,27
136,6,28
136,6,29
136,6,30
138,1,1
138,1,2
138,1,3
138,1,4
138,1,5
138,1,6
138,1,7
138,1,8
138,1,9
138,1,10
138,1,11
138,1,12
138,1,13
138,1,14
138,1,15
138,1,16
138,1,17
138,1,18
138,1,19
138,1,20
138,1,21
138,1,22
138,1,23
138,1,24
138,1,25
138,1,26
138,1,27
138,1,28
138,1,29
138,1,30
138,2,1
138,2,2
138,2,3
138,2,4
138,2,5
138,2,6
138,2,7
138,2,8
138,2,9
138,2,10
138,2,11
138,2,12
138,2,13
138,2,14
138,2,15
138,2,16
138,2,17
138,2,18
138,2,19
138,2,20
138,2,21
138,2,22
138,2,23
138,2,24
138,2,25
138,2,26
138,2,27
138,2,28
138,2,29
138,2,30
138,3,1
138,3,2
138,3,3
138,3,4
138,3,5
138,3,6
138,3,7
138,3,8
138,3,9
138,3,10
138,3,11
138,3,12
138,3,13
138,3,14
138,3,15
138,3,16
138,3,17
138,3,18
138,3,19
138,3,20
138,3,21
138,3,22
138,3,23
138,3,24
138,3,25
138,3,26
138,3,27
138,3,28
138,3,29
138,3,30
138,4,1
138,4,2
138,4,3
138,4,4
138,4,5
138,4,6
138,4,7
138,4,8
138,4,9
138,4,10
138,4,11
138,4,12
138,4,13
138,4,14
138,4,15
138,4,16
138,4,17
138,4,18
138,4,19
138,4,20
138,4,21
138,4,22
138,4,23
138,4,24
138,4,25
138,4,26
138,4,27
138,4,28
138,4,29
138,4,30
138,5,1
138,5,2
138,5,3
138,5,4
138,5,5
138,5,6
138,5,7
138,5,8
138,5,9
138,5,10
138,5,11
138,5,12
138,5,13
138,5,14
138,5,15
138,5,16
138,5,17
138,5,18
138,5,19
138,5,20
138,5,21
138,5,22
138,5,23
138,5,24
138,5,25
138,5,26
138,5,27
138,5,28
138,5,29
138,5,30
138,6,1
138,6,2
138,6,3
138,6,4
138,6,5
138,6,6
138,6,7
138,6,8
138,6,9
138,6,10
138,6,11
138,6,12
138,6,13
138,6,14
138,6,15
138,6,16
138,6,17
138,6,18
138,6,19
138,6,20
138,6,21
138,6,22
138,6,23
138,6,24
138,6,25
138,6,26
138,6,27
138,6,28
138,6,29
138,6,30
148,1,1
148,1,2
148,1,3
148,1,4
148,1,5
148,1,6
148,1,7
148,1,8
148,1,9
148,1,10
148,1,11
148,1,12
148,1,13
148,1,14
148,1,15
148,1,16
148,1,17
148,1,18
148,1,19
148,1,20
148,1,21
148,1,22
148,1,23
148,1,24
148,1,25
148,1,26
148,1,27
148,1,28
148,1,29
148,1,30
148,2,1
148,2,2
148,2,3
148,2,4
148,2,5
148,2,6
148,2,7
148,2,8
148,2,9
148,2,10
148,2,11
148,2,12
148,2,13
148,2,14
148,2,15
148,2,16
148,2,17
148,2,18
148,2,19
148,2,20
148,2,21
148,2,22
148,2,23
148,2,24
148,2,25
148,2,26
148,2,27
148,2,28
148,2,29
148,2,30
148,3,1
148,3,2
148,3,3
148,3,4
148,3,5
148,3,6
148,3,7
148,3,8
148,3,9
148,3,10
148,3,11
148,3,12
148,3,13
148,3,14
148,3,15
148,3,16
148,3,17
148,3,18
148,3,19
148,3,20
148,3,21
148,3,22
148,3,23
148,3,24
148,3,25
148,3,26
148,3,27
148,3,28
148,3,29
148,3,30
148,4,1
148,4,2
148,4,3
148,4,4
148,4,5
148,4,6
148,4,7
148,4,8
148,4,9
148,4,10
148,4,11
148,4,12
148,4,13
148,4,14
148,4,15
148,4,16
148,4,17
148,4,18
148,4,19
148,4,20
148,4,21
148,4,22
148,4,23
148,4,24
148,4,25
148,4,26
148,4,27
148,4,28
148,4,29
148,4,30
148,5,1
148,5,2
148,5,3
148,5,4
148,5,5
148,5,6
148,5,7
148,5,8
148,5,9
148,5,10
148,5,11
148,5,12
148,5,13
148,5,14
148,5,15
148,5,16
148,5,17
148,5,18
148,5,19
148,5,20
148,5,21
148,5,22
148,5,23
148,5,24
148,5,25
148,5,26
148,5,27
148,5,28
148,5,29
148,5,30
148,6,1
148,6,2
148,6,3
148,6,4
148,6,5
148,6,6
148,6,7
148,6,8
148,6,9
148,6,10
148,6,11
148,6,12
148,6,13
148,6,14
148,6,15
148,6,16
148,6,17
148,6,18
148,6,19
148,6,20
148,6,21
148,6,22
148,6,23
148,6,24
148,6,25
148,6,26
148,6,27
148,6,28
148,6,29
148,6,30
154,1,1
154,1,2
154,1,3
154,1,4
154,1,5
154,1,6
154,1,7
154,1,8
154,1,9
154,1,10
154,1,11
154,1,12
154,1,13
154,1,14
154,1,15
154,1,16
154,1,17
154,1,18
154,1,19
154,1,20
154,1,21
154,1,22
154,1,23
154,1,24
154,1,25
154,1,26
154,1,27
154,1,28
154,1,29
154,1,30
154,2,1
154,2,2
154,2,3
154,2,4
154,2,5
154,2,6
154,2,7
154,2,8
154,2,9
154,2,10
154,2,11
154,2,12
154,2,13
154,2,14
154,2,15
154,2,16
154,2,17
154,2,18
