flight_id,person_id
1,42
1,76
1,158
1,264
2,391
2,401
2,474
3,123
3,553
3,638
3,659
3,717
4,768
4,860
4,918
5,986
5,992
5,42
6,76
6,158
6,264
6,364
7,391
7,401
7,474
7,538
8,553
8,638
8,659
9,717
9,768
9,860
9,918
10,986
10,992
10,42
11,76
11,158
11,264
11,364
12,391
12,401
12,474
13,538
13,553
13,638
13,659
14,717
14,768
14,860
15,918
15,986
15,992
16,42
16,76
16,158
16,264
17,364
17,391
17,401
17,474
18,538
18,553
18,638
18,659
19,717
19,768
19,860
19,918
20,986
20,992
21,42
21,76
21,158
21,264
22,364
22,391
22,401
23,474
23,538
23,553
24,638
24,659
24,717
25,768
25,860
25,918
25,986
25,992
