person_id,payment_date,payment_month,staff_salary,overtime_payment,total_payment
28,2018-01-09 23:50:35,January 2018,0,2408.18,0
32,2019-05-30 13:06:55,May 2019,0,2342.15,0
36,2021-04-27 13:44:32,April 2021,0,1452.65,0
37,2022-04-06 15:04:32,April 2022,0,1287.78,0
39,2021-03-04 14:32:53,March 2021,0,2333.71,0
41,2020-10-26 16:03:06,October 2020,0,1272.57,0
42,2018-03-03 02:56:09,March 2018,0,2443.54,0
44,2018-09-05 16:59:57,September 2018,0,1547.0,0
45,2018-12-04 01:48:30,December 2018,0,2278.72,0
46,2019-07-24 20:23:58,July 2019,0,1218.24,0
47,2019-05-14 10:56:15,May 2019,0,1417.47,0
66,2020-01-02 00:42:03,January 2020,0,2019.92,0
70,2021-02-16 22:04:02,February 2021,0,1603.5,0
71,2020-03-07 09:24:04,March 2020,0,1724.84,0
74,2020-05-05 05:47:37,May 2020,0,1349.45,0
76,2020-11-03 02:15:57,November 2020,0,1414.84,0
117,2018-07-14 09:36:22,July 2018,0,2214.98,0
121,2018-06-07 16:47:24,June 2018,0,1623.51,0
123,2021-03-27 05:44:40,March 2021,0,1392.43,0
126,2019-01-04 01:37:36,January 2019,0,1211.44,0
128,2020-02-09 17:39:51,February 2020,0,1923.99,0
130,2021-11-02 19:04:58,November 2021,0,1351.0,0
131,2018-01-11 20:30:30,January 2018,0,1704.53,0
132,2020-05-28 10:49:34,May 2020,0,2395.38,0
136,2018-02-10 10:55:44,February 2018,0,2456.46,0
137,2021-08-04 02:55:58,August 2021,0,1770.04,0
139,2021-11-11 01:18:01,November 2021,0,1835.13,0
158,2021-06-10 09:56:35,June 2021,0,1959.1,0
163,2020-06-08 19:28:38,June 2020,0,1760.6,0
167,2020-07-23 01:53:10,July 2020,0,1617.25,0
168,2021-05-04 01:57:38,May 2021,0,2141.67,0
169,2019-11-23 00:14:03,November 2019,0,1910.12,0
170,2021-06-16 21:01:36,June 2021,0,1816.67,0
171,2021-04-12 15:01:12,April 2021,0,1870.58,0
172,2019-12-10 12:14:02,December 2019,0,1418.9,0
176,2019-09-15 02:24:26,September 2019,0,2141.29,0
177,2021-04-15 12:10:50,April 2021,0,2378.32,0
178,2021-09-12 08:56:36,September 2021,0,2194.75,0
182,2018-08-29 18:49:00,August 2018,0,1262.7,0
214,2018-10-19 18:36:47,October 2018,0,1448.32,0
215,2019-07-22 10:53:20,July 2019,0,1310.81,0
219,2021-01-27 13:59:34,January 2021,0,1592.42,0
