ticket_id,flight_id,plane_id,row_seat,col_seat,ticket_price_id,status
1,1,119,1,1,261,SOLD OUT
2,1,119,1,2,261,SOLD OUT
3,1,119,1,3,261,SOLD OUT
4,1,119,1,4,257,SOLD OUT
5,1,119,1,5,261,SOLD OUT
6,1,119,1,6,261,SOLD OUT
7,1,119,1,7,257,SOLD OUT
8,1,119,1,8,261,SOLD OUT
9,1,119,1,9,261,SOLD OUT
10,1,119,1,10,261,SOLD OUT
11,1,119,1,11,257,SOLD OUT
12,1,119,1,12,261,SOLD OUT
13,1,119,1,13,261,SOLD OUT
14,1,119,1,14,261,SOLD OUT
15,1,119,1,15,257,SOLD OUT
16,1,119,1,16,261,SOLD OUT
17,1,119,1,17,261,SOLD OUT
18,1,119,1,18,257,SOLD OUT
19,1,119,1,19,261,SOLD OUT
20,1,119,1,20,257,SOLD OUT
21,1,119,1,21,261,SOLD OUT
22,1,119,1,22,261,SOLD OUT
23,1,119,1,23,261,SOLD OUT
24,1,119,1,24,261,SOLD OUT
25,1,119,1,25,257,SOLD OUT
26,1,119,1,26,257,SOLD OUT
27,1,119,1,27,257,SOLD OUT
28,1,119,1,28,261,SOLD OUT
29,1,119,1,29,261,SOLD OUT
30,1,119,1,30,257,SOLD OUT
31,1,119,2,1,258,SOLD OUT
32,1,119,2,2,262,SOLD OUT
33,1,119,2,3,262,SOLD OUT
34,1,119,2,4,258,SOLD OUT
35,1,119,2,5,262,SOLD OUT
36,1,119,2,6,258,SOLD OUT
37,1,119,2,7,262,SOLD OUT
38,1,119,2,8,262,SOLD OUT
39,1,119,2,9,262,SOLD OUT
40,1,119,2,10,258,SOLD OUT
41,1,119,2,11,262,SOLD OUT
42,1,119,2,12,258,SOLD OUT
43,1,119,2,13,262,SOLD OUT
44,1,119,2,14,262,SOLD OUT
45,1,119,2,15,262,SOLD OUT
46,1,119,2,16,262,SOLD OUT
47,1,119,2,17,262,SOLD OUT
48,1,119,2,18,258,SOLD OUT
49,1,119,2,19,262,SOLD OUT
50,1,119,2,20,258,SOLD OUT
51,1,119,2,21,262,SOLD OUT
52,1,119,2,22,262,SOLD OUT
53,1,119,2,23,262,SOLD OUT
54,1,119,2,24,262,SOLD OUT
55,1,119,2,25,258,SOLD OUT
56,1,119,2,26,258,SOLD OUT
57,1,119,2,27,262,SOLD OUT
58,1,119,2,28,262,SOLD OUT
59,1,119,2,29,262,SOLD OUT
60,1,119,2,30,262,SOLD OUT
61,1,119,3,1,259,SOLD OUT
62,1,119,3,2,263,SOLD OUT
63,1,119,3,3,263,SOLD OUT
64,1,119,3,4,263,SOLD OUT
65,1,119,3,5,263,SOLD OUT
66,1,119,3,6,263,SOLD OUT
67,1,119,3,7,263,SOLD OUT
68,1,119,3,8,259,SOLD OUT
69,1,119,3,9,263,SOLD OUT
70,1,119,3,10,263,SOLD OUT
71,1,119,3,11,263,SOLD OUT
72,1,119,3,12,263,SOLD OUT
73,1,119,3,13,263,SOLD OUT
74,1,119,3,14,263,SOLD OUT
75,1,119,3,15,263,SOLD OUT
76,1,119,3,16,259,SOLD OUT
77,1,119,3,17,263,SOLD OUT
78,1,119,3,18,263,SOLD OUT
79,1,119,3,19,259,SOLD OUT
80,1,119,3,20,259,SOLD OUT
81,1,119,3,21,263,SOLD OUT
82,1,119,3,22,263,SOLD OUT
83,1,119,3,23,263,SOLD OUT
84,1,119,3,24,263,SOLD OUT
85,1,119,3,25,259,SOLD OUT
86,1,119,3,26,263,SOLD OUT
87,1,119,3,27,259,SOLD OUT
88,1,119,3,28,263,SOLD OUT
89,1,119,3,29,263,SOLD OUT
90,1,119,3,30,263,SOLD OUT
91,1,119,4,1,263,SOLD OUT
92,1,119,4,2,259,SOLD OUT
93,1,119,4,3,263,SOLD OUT
94,1,119,4,4,263,SOLD OUT
95,1,119,4,5,263,SOLD OUT
96,1,119,4,6,263,SOLD OUT
97,1,119,4,7,263,SOLD OUT
98,1,119,4,8,263,SOLD OUT
99,1,119,4,9,263,SOLD OUT
100,1,119,4,10,263,SOLD OUT
101,1,119,4,11,263,SOLD OUT
102,1,119,4,12,259,SOLD OUT
103,1,119,4,13,263,SOLD OUT
104,1,119,4,14,263,SOLD OUT
105,1,119,4,15,263,SOLD OUT
106,1,119,4,16,263,SOLD OUT
107,1,119,4,17,263,SOLD OUT
108,1,119,4,18,263,SOLD OUT
109,1,119,4,19,263,SOLD OUT
110,1,119,4,20,263,SOLD OUT
111,1,119,4,21,263,SOLD OUT
112,1,119,4,22,259,SOLD OUT
113,1,119,4,23,263,SOLD OUT
114,1,119,4,24,259,SOLD OUT
115,1,119,4,25,263,SOLD OUT
116,1,119,4,26,263,SOLD OUT
117,1,119,4,27,263,SOLD OUT
118,1,119,4,28,259,SOLD OUT
119,1,119,4,29,263,SOLD OUT
120,1,119,4,30,259,SOLD OUT
121,1,119,5,1,264,SOLD OUT
122,1,119,5,2,264,SOLD OUT
123,1,119,5,3,260,SOLD OUT
124,1,119,5,4,264,SOLD OUT
125,1,119,5,5,264,SOLD OUT
126,1,119,5,6,264,SOLD OUT
127,1,119,5,7,264,SOLD OUT
128,1,119,5,8,264,SOLD OUT
129,1,119,5,9,260,SOLD OUT
130,1,119,5,10,264,SOLD OUT
131,1,119,5,11,264,SOLD OUT
132,1,119,5,12,260,SOLD OUT
133,1,119,5,13,264,SOLD OUT
134,1,119,5,14,264,SOLD OUT
135,1,119,5,15,264,SOLD OUT
136,1,119,5,16,264,SOLD OUT
137,1,119,5,17,264,SOLD OUT
138,1,119,5,18,264,SOLD OUT
139,1,119,5,19,264,SOLD OUT
140,1,119,5,20,264,SOLD OUT
141,1,119,5,21,264,SOLD OUT
142,1,119,5,22,260,SOLD OUT
143,1,119,5,23,264,SOLD OUT
144,1,119,5,24,264,SOLD OUT
145,1,119,5,25,264,SOLD OUT
146,1,119,5,26,260,SOLD OUT
147,1,119,5,27,264,SOLD OUT
148,1,119,5,28,260,SOLD OUT
149,1,119,5,29,260,SOLD OUT
150,1,119,5,30,264,SOLD OUT
151,1,119,6,1,264,SOLD OUT
152,1,119,6,2,264,SOLD OUT
153,1,119,6,3,264,SOLD OUT
154,1,119,6,4,264,SOLD OUT
155,1,119,6,5,260,SOLD OUT
156,1,119,6,6,260,SOLD OUT
157,1,119,6,7,264,SOLD OUT
158,1,119,6,8,264,SOLD OUT
159,1,119,6,9,264,SOLD OUT
160,1,119,6,10,264,SOLD OUT
161,1,119,6,11,264,SOLD OUT
162,1,119,6,12,260,SOLD OUT
163,1,119,6,13,264,SOLD OUT
164,1,119,6,14,264,SOLD OUT
165,1,119,6,15,260,SOLD OUT
166,1,119,6,16,264,SOLD OUT
167,1,119,6,17,260,SOLD OUT
168,1,119,6,18,260,SOLD OUT
169,1,119,6,19,260,SOLD OUT
170,1,119,6,20,264,SOLD OUT
171,1,119,6,21,264,SOLD OUT
172,1,119,6,22,264,SOLD OUT
173,1,119,6,23,264,SOLD OUT
174,1,119,6,24,264,SOLD OUT
175,1,119,6,25,264,SOLD OUT
176,1,119,6,26,264,SOLD OUT
177,1,119,6,27,264,SOLD OUT
178,1,119,6,28,264,SOLD OUT
179,1,119,6,29,260,SOLD OUT
180,1,119,6,30,260,SOLD OUT
181,2,17,1,1,105,SOLD OUT
182,2,17,1,2,109,SOLD OUT
183,2,17,1,3,109,SOLD OUT
184,2,17,1,4,105,SOLD OUT
185,2,17,1,5,109,SOLD OUT
186,2,17,1,6,109,SOLD OUT
187,2,17,1,7,105,SOLD OUT
188,2,17,1,8,109,SOLD OUT
189,2,17,1,9,109,SOLD OUT
190,2,17,1,10,105,SOLD OUT
191,2,17,1,11,105,SOLD OUT
192,2,17,1,12,109,SOLD OUT
193,2,17,1,13,105,SOLD OUT
194,2,17,1,14,109,SOLD OUT
195,2,17,1,15,105,SOLD OUT
196,2,17,1,16,109,SOLD OUT
197,2,17,1,17,109,SOLD OUT
198,2,17,1,18,109,SOLD OUT
199,2,17,1,19,109,SOLD OUT
200,2,17,1,20,105,SOLD OUT
201,2,17,1,21,109,SOLD OUT
202,2,17,1,22,109,SOLD OUT
203,2,17,1,23,109,SOLD OUT
204,2,17,1,24,109,SOLD OUT
205,2,17,1,25,109,SOLD OUT
206,2,17,1,26,109,SOLD OUT
207,2,17,1,27,105,SOLD OUT
208,2,17,1,28,109,SOLD OUT
209,2,17,1,29,109,SOLD OUT
210,2,17,1,30,109,SOLD OUT
211,2,17,2,1,110,SOLD OUT
212,2,17,2,2,110,SOLD OUT
213,2,17,2,3,110,SOLD OUT
214,2,17,2,4,110,SOLD OUT
215,2,17,2,5,110,SOLD OUT
216,2,17,2,6,110,SOLD OUT
217,2,17,2,7,110,SOLD OUT
218,2,17,2,8,110,SOLD OUT
219,2,17,2,9,106,SOLD OUT
220,2,17,2,10,110,SOLD OUT
221,2,17,2,11,110,SOLD OUT
222,2,17,2,12,110,SOLD OUT
223,2,17,2,13,110,SOLD OUT
224,2,17,2,14,110,SOLD OUT
225,2,17,2,15,110,SOLD OUT
226,2,17,2,16,110,SOLD OUT
227,2,17,2,17,110,SOLD OUT
228,2,17,2,18,110,SOLD OUT
229,2,17,2,19,110,SOLD OUT
230,2,17,2,20,106,SOLD OUT
231,2,17,2,21,110,SOLD OUT
232,2,17,2,22,106,SOLD OUT
233,2,17,2,23,110,SOLD OUT
234,2,17,2,24,110,SOLD OUT
235,2,17,2,25,110,SOLD OUT
236,2,17,2,26,110,SOLD OUT
237,2,17,2,27,110,SOLD OUT
238,2,17,2,28,110,SOLD OUT
239,2,17,2,29,106,SOLD OUT
240,2,17,2,30,110,SOLD OUT
241,2,17,3,1,107,SOLD OUT
242,2,17,3,2,111,SOLD OUT
243,2,17,3,3,111,SOLD OUT
244,2,17,3,4,111,SOLD OUT
245,2,17,3,5,107,SOLD OUT
246,2,17,3,6,111,SOLD OUT
247,2,17,3,7,107,SOLD OUT
248,2,17,3,8,107,SOLD OUT
249,2,17,3,9,111,SOLD OUT
250,2,17,3,10,111,SOLD OUT
251,2,17,3,11,111,SOLD OUT
252,2,17,3,12,111,SOLD OUT
253,2,17,3,13,111,SOLD OUT
254,2,17,3,14,111,SOLD OUT
255,2,17,3,15,111,SOLD OUT
256,2,17,3,16,111,SOLD OUT
257,2,17,3,17,107,SOLD OUT
258,2,17,3,18,111,SOLD OUT
259,2,17,3,19,107,SOLD OUT
260,2,17,3,20,111,SOLD OUT
261,2,17,3,21,111,SOLD OUT
262,2,17,3,22,111,SOLD OUT
263,2,17,3,23,111,SOLD OUT
264,2,17,3,24,111,SOLD OUT
265,2,17,3,25,111,SOLD OUT
266,2,17,3,26,111,SOLD OUT
267,2,17,3,27,107,SOLD OUT
268,2,17,3,28,111,SOLD OUT
269,2,17,3,29,107,SOLD OUT
270,2,17,3,30,107,SOLD OUT
271,2,17,4,1,111,SOLD OUT
272,2,17,4,2,107,SOLD OUT
273,2,17,4,3,111,SOLD OUT
274,2,17,4,4,107,SOLD OUT
275,2,17,4,5,111,SOLD OUT
276,2,17,4,6,111,SOLD OUT
277,2,17,4,7,111,SOLD OUT
278,2,17,4,8,111,SOLD OUT
279,2,17,4,9,107,SOLD OUT
280,2,17,4,10,111,SOLD OUT
281,2,17,4,11,111,SOLD OUT
282,2,17,4,12,111,SOLD OUT
283,2,17,4,13,107,SOLD OUT
284,2,17,4,14,111,SOLD OUT
285,2,17,4,15,111,SOLD OUT
286,2,17,4,16,107,SOLD OUT
287,2,17,4,17,111,SOLD OUT
288,2,17,4,18,111,SOLD OUT
289,2,17,4,19,111,SOLD OUT
290,2,17,4,20,107,SOLD OUT
291,2,17,4,21,111,SOLD OUT
292,2,17,4,22,107,SOLD OUT
293,2,17,4,23,111,SOLD OUT
294,2,17,4,24,111,SOLD OUT
