purchase_id,ticket_id,flight_id
746,4,1
820,7,1
650,11,1
# 514,15,1
617,18,1
998,20,1
531,25,1
299,26,1
# 451,27,1
# 863,30,1
# 776,31,1
587,34,1
690,36,1
232,40,1
# 807,42,1
981,48,1
569,50,1
114,55,1
901,56,1
# 966,61,1
558,68,1
421,76,1
516,79,1
442,80,1
729,85,1
566,87,1
646,92,1
# 935,102,1
905,112,1
468,114,1
666,118,1
127,120,1
525,123,1
857,129,1
384,132,1
# 934,142,1
70,146,1
620,148,1
345,149,1
740,155,1
868,156,1
903,162,1
929,165,1
422,167,1
592,168,1
585,169,1
848,179,1
647,180,1
# 139,181,2
904,184,2
# 654,187,2
38,190,2
# 520,191,2
824,193,2
656,195,2
169,200,2
982,207,2
# 69,219,2
284,230,2
319,232,2
153,239,2
999,241,2
328,245,2
936,247,2
# 124,248,2
298,257,2
116,259,2
54,267,2
828,269,2
18,270,2
306,272,2
675,274,2
371,279,2
234,283,2
161,286,2
126,290,2
572,292,2
782,300,2
853,303,2
399,308,2
372,317,2
532,319,2
915,320,2
953,323,2
869,329,2
284,330,2
518,334,2
54,335,2
667,336,2
574,338,2
936,343,2
820,347,2
99,349,2
846,350,2
858,351,2
166,352,2
60,353,2
# 225,364,3
833,366,3
32,369,3
# 974,373,3
562,374,3
391,376,3
# 861,379,3
917,380,3
523,388,3
# 280,393,3
14,395,3
621,398,3
10,399,3
# 934,400,3
299,402,3
820,405,3
984,410,3
# 405,420,3
171,424,3
788,426,3
# 465,429,3
201,430,3
876,442,3
192,448,3
224,455,3
862,457,3
889,458,3
362,462,3
829,465,3
# 508,474,3
811,486,3
992,495,3
550,500,3
962,504,3
653,505,3
8,509,3
138,513,3
689,517,3
445,523,3
148,528,3
104,529,3
# 340,530,3
77,531,3
653,534,3
492,535,3
# 597,544,4
989,546,4
185,547,4
# 982,552,4
218,553,4
240,554,4
854,557,4
# 536,559,4
340,560,4
402,561,4
411,562,4
41,574,4
933,575,4
907,576,4
# 690,578,4
54,581,4
405,587,4
810,588,4
80,591,4
309,597,4
604,603,4
# 852,605,4
804,611,4
375,613,4
576,615,4
995,617,4
164,628,4
429,632,4
# 311,636,4
556,654,4
181,659,4
56,660,4
406,662,4
880,666,4
860,671,4
356,677,4
989,686,4
# 150,687,4
201,692,4
68,694,4
5,704,4
387,706,4
225,710,4
231,714,4
# 870,720,4
# 589,721,5
# 378,727,5
# 925,729,5
# 13,734,5
983,735,5
606,737,5
324,743,5
158,748,5
899,750,5
907,753,5
273,759,5
406,762,5
433,766,5
532,770,5
801,772,5
729,774,5
762,787,5
105,788,5
714,791,5
493,795,5
519,800,5
175,808,5
24,809,5
438,812,5
597,813,5
391,818,5
887,821,5
355,822,5
149,825,5
632,832,5
197,834,5
390,841,5
570,842,5
463,850,5
426,853,5
4,870,5
263,873,5
936,885,5
823,886,5
967,889,5
266,895,5
430,896,5
301,897,5
94,899,5
110,903,6
971,904,6
450,907,6
160,908,6
231,909,6
903,919,6
884,922,6
682,924,6
551,936,6
347,937,6
165,945,6
# 79,958,6
# 145,959,6
